casilla;x (pixels);y (pixels);x (puntos);y (puntos);cajaAncho (pixels);cajaAlto (pixels);cajaAncho (puntos);cajaAlto (puntos);multiline
1;221;171;53,04;41,04;1195;350;233,76;42,96;true
2;221;488;53,04;117,12;1195;640;233,76;36,48;true
3;221;767;53,04;184,08;1195;860;233,76;22,32;true
4;221;975;53,04;234;1195;1060;233,76;20,4;true
5;221;1165;53,04;279,6;1195;1250;233,76;20,4;true
6;221;1367;53,04;328,08;472;1410;63,36;10,32;false
7;545;1367;130,8;328,08;;;63,36;10,32;false
8;876;1367;210,24;328,08;1140;;63,36;20,64;true
9;1200;1367;288;328,08;;;63,36;10,32;false
10;;;;;;;;;
11;1837;1367;440,88;328,08;;;63,36;10,32;false
12;2138;1367;513,12;328,08;;;63,36;10,32;false
13;250;2245;60;538,8;1150;2600;216;85,2;true
14;;;;;;;;;
15;;;;;;;;;
16;;;;;;;;;
17;1330;465;319,2;111,6;2290;670;230,4;49,2;true
18;;;;;;;;;
19;;;;;;;;;
20;;;;;;;;;
21;;;;;;;;;
22A;400;2885;96;692,4;820;;100,8;10,32;false
22B;790;2885;189,6;692,4;820;;100,8;10,32;false
23;;;;;;;;;
24;;;;;;;;;
25;;;;;;;;;
26A;250;2550;60;612;625;;90;20,64;true
26B;700;2550;168;612;;;90;20,64;true
27;221;1930;53,04;463,2;1255;2060;248,16;31,2;false
